window_start,window_end,wind_speed_mean,wind_speed_median,wind_speed_max,wind_dir_mean,wind_dir_median,wind_dir_std
2024-06-15 13:30:00,2024-06-15 16:30:00,1.2,1.1,5.3,246.0,246.0,48.0
2024-06-15 15:00:00,2024-06-15 18:00:00,0.8,0.7,3.0,222.0,222.0,60.0
2024-06-15 16:30:00,2024-06-15 19:30:00,0.7,0.6,3.3,233.0,233.0,56.0
2024-06-15 18:00:00,2024-06-15 21:00:00,0.9,0.8,3.3,250.0,250.0,42.0
2024-06-15 19:30:00,2024-06-15 22:30:00,1.0,1.0,3.2,259.0,259.0,31.0
2024-06-15 21:00:00,2024-06-16 00:00:00,0.7,0.6,2.5,261.0,261.0,40.0
2024-06-15 22:30:00,2024-06-16 01:30:00,0.7,0.6,3.9,255.0,255.0,48.0
2024-06-16 00:00:00,2024-06-16 03:00:00,0.9,0.9,3.9,257.0,257.0,35.0
2024-06-16 01:30:00,2024-06-16 04:30:00,0.9,0.9,3.3,258.0,258.0,27.0
2024-06-16 04:30:00,2024-06-16 07:30:00,0.9,0.9,3.7,245.0,245.0,47.0
2024-06-16 03:00:00,2024-06-16 06:00:00,0.8,0.8,3.0,247.0,247.0,46.0
2024-06-16 06:00:00,2024-06-16 09:00:00,1.0,1.0,3.7,253.0,253.0,35.0
2024-06-16 07:30:00,2024-06-16 10:30:00,1.0,0.9,3.0,225.0,225.0,77.0
2024-06-16 10:30:00,2024-06-16 13:30:00,1.2,1.1,4.4,116.0,116.0,67.0
2024-06-16 09:00:00,2024-06-16 12:00:00,1.0,0.9,4.2,143.0,143.0,77.0
2024-06-16 12:00:00,2024-06-16 15:00:00,1.1,1.0,4.4,119.0,119.0,69.0
2024-06-16 13:30:00,2024-06-16 16:30:00,1.1,1.1,3.8,223.0,223.0,77.0
2024-06-16 15:00:00,2024-06-16 18:00:00,0.9,0.7,3.8,260.0,260.0,62.0
2024-06-16 16:30:00,2024-06-16 19:30:00,0.5,0.5,2.6,291.0,291.0,57.0
2024-06-16 19:30:00,2024-06-16 22:30:00,0.7,0.6,2.8,291.0,291.0,20.0
2024-06-16 18:00:00,2024-06-16 21:00:00,0.6,0.6,1.9,297.0,297.0,24.0
2024-06-16 21:00:00,2024-06-17 00:00:00,1.0,0.9,3.4,283.0,283.0,21.0
2024-06-16 22:30:00,2024-06-17 01:30:00,0.7,0.7,3.4,300.0,300.0,49.0
2024-06-17 00:00:00,2024-06-17 03:00:00,0.4,0.3,1.8,340.0,340.0,54.0
2024-06-17 01:30:00,2024-06-17 04:30:00,0.4,0.3,1.3,30.0,30.0,65.0
2024-06-17 04:30:00,2024-06-17 07:30:00,0.6,0.5,2.4,150.0,150.0,73.0
